School Name,Active,Admissions Drop,Archived,Dropped,Total,Drop_Count,Drop_Rate
School590,4,4,22,0,30,4,0.13333333333333333
School591,1,3,7,3,14,6,0.42857142857142855
School592,0,0,2,0,2,0,0.0
School593,0,0,1,0,1,0,0.0
School594,0,2,0,0,2,2,1.0
School595,1,1,1,0,3,1,0.3333333333333333
School596,3,2,13,0,18,2,0.1111111111111111
School597,0,0,2,0,2,0,0.0
School598,1,0,8,0,9,0,0.0
School599,0,0,1,0,1,0,0.0
School6,4,1,24,0,29,1,0.034482758620689655
School60,4,7,20,0,31,7,0.22580645161290322
School600,0,0,2,0,2,0,0.0
School601,0,0,1,0,1,0,0.0
School602,1,0,1,0,2,0,0.0
School603,0,0,4,0,4,0,0.0
School604,0,0,1,0,1,0,0.0
School605,0,1,0,1,2,2,1.0
School606,2,5,2,0,9,5,0.5555555555555556
School607,0,0,2,0,2,0,0.0
School608,1,5,2,0,8,5,0.625
School609,0,4,6,0,10,4,0.4
School61,1,0,1,0,2,0,0.0
School610,0,1,1,0,2,1,0.5
School611,2,0,8,0,10,0,0.0
School612,3,0,2,0,5,0,0.0
School613,1,0,1,0,2,0,0.0
School614,3,4,11,0,18,4,0.2222222222222222
School615,1,1,4,0,6,1,0.16666666666666666
School616,1,0,4,0,5,0,0.0
School617,0,1,0,0,1,1,1.0
School618,0,0,1,0,1,0,0.0
School619,0,1,3,2,6,3,0.5
School62,0,0,1,0,1,0,0.0
School620,1,1,2,0,4,1,0.25
School621,3,1,4,0,8,1,0.125
School622,2,4,2,0,8,4,0.5
School623,1,1,3,0,5,1,0.2
School624,0,0,1,0,1,0,0.0
School625,0,1,6,0,7,1,0.14285714285714285
School626,0,2,0,0,2,2,1.0
School627,0,1,1,0,2,1,0.5
School628,4,1,14,0,19,1,0.05263157894736842
School629,0,3,1,0,4,3,0.75
School63,1,0,3,1,5,1,0.2
School630,1,0,9,0,10,0,0.0
School631,0,0,4,0,4,0,0.0
School632,1,1,9,0,11,1,0.09090909090909091
School633,1,3,4,0,8,3,0.375
School634,0,2,0,0,2,2,1.0
School635,0,0,1,0,1,0,0.0
School636,1,1,3,0,5,1,0.2
School637,1,1,0,0,2,1,0.5
School638,0,0,1,0,1,0,0.0
School639,1,0,5,0,6,0,0.0
School64,0,3,0,0,3,3,1.0
School640,0,0,2,0,2,0,0.0
School641,0,0,1,0,1,0,0.0
School642,0,0,2,0,2,0,0.0
School643,1,0,7,0,8,0,0.0
School644,0,0,2,0,2,0,0.0
School645,1,0,6,1,8,1,0.125
School646,0,1,1,0,2,1,0.5
School647,0,2,1,0,3,2,0.6666666666666666
School648,1,3,4,0,8,3,0.375
School649,1,2,3,0,6,2,0.3333333333333333
School65,1,0,1,0,2,0,0.0
School650,1,0,1,0,2,0,0.0
School651,0,1,5,0,6,1,0.16666666666666666
School652,1,1,7,0,9,1,0.1111111111111111
School653,1,0,3,0,4,0,0.0
School654,0,0,2,0,2,0,0.0
School655,0,0,1,0,1,0,0.0
School656,1,1,3,0,5,1,0.2
School66,1,3,7,0,11,3,0.2727272727272727
School67,1,0,5,0,6,0,0.0
School68,0,0,1,0,1,0,0.0
School69,1,2,3,0,6,2,0.3333333333333333
School7,1,0,1,0,2,0,0.0
School70,1,1,6,0,8,1,0.125
School71,2,1,15,0,18,1,0.05555555555555555
School72,0,0,2,0,2,0,0.0
School73,0,1,1,0,2,1,0.5
